NETCDF_VARIABLE_ID,long_name,ORIGINATOR_UNITS,VARIABLE_TYPE,DATA_TYPE,PYTHON_DATA_TYPE,DIMENSIONS,coordinates,standard_name,P07,units,calendar,valid_min,valid_max,axis,ancillary_variables,positive,sdn_parameter_urn,sdn_uom_urn,sdn_parameter_name,sdn_uom_name,grid_mapping,fill_value,atlantosEVid,atlantosEVname,calibration,instrument,deployment,cf_role,grid_mapping_name,epsg_code,semi_major_axis,inverse_flattening,COMMENTS
TIME,Time,seconds,Coordinate,float64,f8,"'INSTANCE', 'MAXT'",,time,CFSN0115,seconds since 1970-01-01T00:00:00Z,standard,0,9000000000,T,TIME_SEADATANET_QC,,SDN:P01::ELTMEP01,SDN:P06::UTBB,Elapsed time relative to 1970-01-01T00:00:00Z,Seconds,,-1,,,,,,,,,,,
crs,, -,Scalar auxilliary coordinate,int32,i4,,,,,,,,,,,,,,,,,,,,,,,,latitude_longitude,EPSG:4326,6378137,298.2572236,
LATITUDE,Latitude,degrees,Coordinate,float64,f8,"'INSTANCE', 'MAXT'",,latitude,CFSN0600,degrees_north,,-90,90,Y,POSITION_SEADATANET_QC,,SDN:P01::ALATGP01,SDN:P06::DEGN,Latitude north relative to WGS84 by unspecified GPS system,Degrees north,crs,-99,,,,,,,,,,,
LONGITUDE,Longitude,degrees,Coordinate,float64,f8,"'INSTANCE', 'MAXT'",,longitude,CFSN0554,degrees_east,,-180,180,X,POSITION_SEADATANET_QC,,SDN:P01::ALONGP01,SDN:P06::DEGE,Longitude east relative to WGS84 by unspecified GPS system,Degrees east,crs,-999,,,,,,,,,,,
DEPTH,DepBelowSurf,m,Coordinate,float32,f4,"'INSTANCE', 'MAXT'",,depth,CFSN0721,m,,0,9999,Z,DEPTH_SEADATANET_QC,down,SDN:P01::ADEPZZ01,SDN:P06::ULAA,Depth (spatial coordinate) relative to water surface in the water body,Metres,,-1,,,,,,,,,,,This is for gliders so make 0
trajectory,Trajectory identifier, -,Scalar auxilliary coordinate,string,S1,"'INSTANCE','STRING80'",,,,,,,,,,,,,,,,,,,,,,trajectory_id,,,,,
atten,beam attenuation,/m,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,,,0,400,,atten_SEADATANET_QC,,SDN:P01::ATTNZZ01,SDN:P06::UPRM,Attenuation (unspecified wavelength) per unit length of the water body by transmissometer,per metre,,-1,,,,,,,,,,,
airtemp,air temperature ,deg C,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,air_temperature,CFSN0023,degC,,-40,60,,airtemp_SEADATANET_QC,,SDN:P01::CDTAZZ01,SDN:P06::UPAA,Temperature of the atmosphere by thermometer,Degrees Celsius,,-99,SDN:A05::EV_AIRTEMP,Air temperature,,,,,,,,,
airtemp2,air temperature (sensor 2),deg C,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,air_temperature,CFSN0023,degC,,-40,60,,airtemp2_SEADATANET_QC,,SDN:P01::CDTAZZ02,SDN:P06::UPAA,Temperature of the atmosphere by thermometer (second sensor),Degrees Celsius,,-99,,,,,,,,,,,
bathydep_es,sea floor depth single beam echosounder,m,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,sea_floor_depth_below_sea_surface,CFV13N17,m,,0,12000,,bathydep_es_SEADATANET_QC,,SDN:P01::MBANZZ01,SDN:P06::ULAA,Sea-floor depth (below instantaneous sea level) {bathymetric depth} in the water body by echo sounder,Metres,,-1,SDN:A05::EV_BATHY,Bottom depth,,,,,,,,,
bathydep_mb,sea floor depth swath central beam,m,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,sea_floor_depth_below_sea_surface,CFV13N17,m,,0,12000,,bathydep_mb_SEADATANET_QC,,SDN:P01::MBANSWCB,SDN:P06::ULAA,Sea-floor depth (below instantaneous sea level) {bathymetric depth} in the water body by multibeam echo sounder central beam,Metres,,-1,SDN:A05::EV_BATHY,Bottom depth,,,,,,,,,
beamtrans_fract,beam transmittance,0 > Tr > 1,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,Dmnless,,0,100,,beamtrans_fract_SEADATANET_QC,,,,,,,,,,,,,,,,,,
beamtrans,beam transmittance,%,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,%,,0,100,,beamtrans_SEADATANET_QC,,SDN:P01::POPTZZ01,SDN:P06::UPCT,Transmittance (unspecified wavelength) per unspecified length of the water body by transmissometer,Percent,,-1,,,,,,,,,,,
